Naam;Aantal;;
Aaliyah;61;;
Aaltje;28;;
Abby;36;;
Abigail;44;;
Ada;34;;
Adriana;59;;
Aimée;77;;
Aisha;37;;
Alexandra;30;;
Aleyna;32;;
Alice;50;;
Alicia;63;;
Alina;107;;
Alisa;26;;
Aliya;26;;
Aliyah;37;;
Alma;26;;
Alya;44;;
Alyssa;47;;
Amalia;34;;
Amara;30;;
Amaya;34;;
Amber;184;;
Amelia;75;;
Amelie;33;;
Amina;60;;
Amira;176;;
Amy;257;;
Amélie;110;;
Angelina;44;;
Anna;586;;
Annabel;30;;
Anne;197;;
Annemijn;31;;
Anouk;109;;
Ariana;35;;
Arya;40;;
Asel;34;;
Ashley;32;;
Asiya;31;;
Asya;30;;
Aurora;44;;
Ava;90;;
Aya;109;;
Ayana;30;;
Ayla;91;;
Aylin;48;;
Azra;70;;
Babette;28;;
Beau;66;;
Bella;48;;
Bente;102;;
Benthe;127;;
Bibi;91;;
Bo;261;;
Bobbi;128;;
Bobbie;49;;
Bowie;55;;
Britt;47;;
Carlijn;34;;
Carmen;30;;
Cataleya;37;;
Catharina;34;;
Cato;200;;
Celine;43;;
Charlie;157;;
Charlotte;203;;
Chelsey;33;;
Chloe;36;;
Chloé;139;;
Chloë;155;;
Claire;26;;
Coco;47;;
Cornelia;66;;
Céline;29;;
Daantje;34;;
Daisy;28;;
Dana;53;;
Dani;52;;
Danique;44;;
Daphne;52;;
Davina;73;;
Defne;35;;
Demi;117;;
Dewi;38;;
Diana;29;;
Diede;37;;
Dieke;25;;
Dina;60;;
Djenna;37;;
Dominique;32;;
Donna;50;;
Doris;60;;
Dua;36;;
Eef;48;;
Eefje;25;;
Ela;77;;
Eleanor;39;;
Elena;237;;
Eleonora;31;;
Eliana;30;;
Elif;136;;
Elin;355;;
Elina;64;;
Eline;153;;
Elisa;132;;
Elisabeth;91;;
Elise;148;;
Eliza;55;;
Elizabeth;80;;
Elize;53;;
Ella;297;;
Elle;29;;
Elodie;37;;
Elynn;32;;
Emilia;134;;
Emilie;36;;
Emily;344;;
Emma;731;;
Emmy;29;;
Esma;34;;
Esmee;282;;
Esmée;75;;
Esra;36;;
Esther;53;;
Eva;480;;
Evelien;51;;
Eveline;28;;
Evi;530;;
Evie;57;;
Evy;155;;
Fabiënne;28;;
Famke;33;;
Farah;35;;
Fardau;30;;
Fatima;57;;
Fay;162;;
Faya;40;;
Faye;86;;
Fayen;28;;
Fayenne;43;;
Fayèn;31;;
Febe;37;;
Feline;228;;
Fem;117;;
Femke;156;;
Femm;33;;
Fenna;351;;
Fenne;163;;
Fieke;33;;
Fien;248;;
Fiene;132;;
Fiep;33;;
Filou;56;;
Fleur;363;;
Floor;183;;
Floortje;33;;
Flore;65;;
Florence;25;;
Florine;47;;
Freya;50;;
Féline;108;;
Gaia;28;;
Gigi;27;;
Gioia;26;;
Giulia;55;;
Grace;29;;
Guusje;138;;
Gwen;53;;
Hafsa;55;;
Hailey;261;;
Hanna;181;;
Hannah;338;;
Hanne;58;;
Hayley;53;;
Helena;81;;
Hendrika;55;;
Hidaya;53;;
Hira;32;;
Ilse;79;;
Imani;32;;
Imke;39;;
Inara;29;;
Inaya;148;;
Indy;97;;
Ines;30;;
Iris;145;;
Isa;347;;
Isabeau;33;;
Isabel;166;;
Isabella;251;;
Isabelle;83;;
Ise;59;;
Isra;81;;
Iva;29;;
Ivy;222;;
Ize;54;;
Izzy;38;;
Jackie;127;;
Jacky;31;;
Jacoba;27;;
Jada;30;;
Jade;133;;
Jaelynn;26;;
Jailey;59;;
Jaimy;28;;
Jalou;29;;
Jana;35;;
Jane;56;;
Janna;83;;
Janne;87;;
Jara;49;;
Jasmijn;230;;
Jasmine;32;;
Jayda;31;;
Jaylinn;98;;
Jazz;36;;
Jazzlyn;40;;
Jazzlynn;39;;
Jenna;51;;
Jente;49;;
Jess;33;;
Jessie;66;;
Jesslyn;26;;
Jesslynn;49;;
Jet;115;;
Jette;33;;
Jill;181;;
Jinte;101;;
Jinthe;82;;
Jip;54;;
Joanna;26;;
Johanna;156;;
Jolie;138;;
Jolien;46;;
Jolijn;37;;
Josefien;42;;
Josephine;96;;
Joy;78;;
Joya;27;;
Joëlle;51;;
Jula;70;;
Jule;35;;
Julia;630;;
Julie;273;;
Juliette;62;;
Juliëtte;72;;
Juna;94;;
June;116;;
Juno;26;;
Juul;179;;
Karlijn;39;;
Kate;140;;
Kato;25;;
Kaylee;25;;
Kayleigh;25;;
Keet;54;;
Kensi;39;;
Kenza;36;;
Khadija;27;;
Kiara;33;;
Kiki;212;;
Kim;27;;
Kira;32;;
Kyara;29;;
Kyra;58;;
Laila;27;;
Lana;120;;
Lara;243;;
Laura;145;;
Laure;27;;
Lauren;447;;
Laurie;29;;
Layla;55;;
Lea;64;;
Leah;93;;
Lena;221;;
Lenne;35;;
