Naam;Aantal
Anoeska (V);217
Anouchka (V);82
Anouck (V);371
Anouk (V);14596
Anouschka (V);533
Anoushka (V);101
Anouska (V);274
Ans (V);75
Anthe (V);37
Anthea (V);36
Anthonia (V);341
Antje (V);1391
Antoinet (V);72
Antoinetta (V);135
Antoinette (V);614
Antonetta (V);154
Antonette (V);33
Antonia (V);1627
Antsje (V);41
Anuradha (V);101
Anuschka (V);88
Anusha (V);41
Anushka (V);64
Anuska (V);49
Anya (V);44
Aoife (V);29
Aouatif (V);40
Apollonia (V);77
Apolonia (V);124
April (V);156
Arabella (V);34
Aradhana (V);36
Aradhna (V);28
Aranka (V);378
Arantxa (V);48
Archana (V);80
Arda (V);34
Ardina (V);38
Areke (V);41
Arenda (V);90
Arendina (V);159
Arendje (V);174
Arentje (V);52
Aria (V);148
Ariaantje (V);60
Ariadne (V);27
Ariana (V);132
Ariane (V);142
Arianna (V);54
Arianne (V);462
Arieke (V);48
Ariena (V);50
Arife (V);72
Arigje (V);29
Arina (V);200
Arinda (V);38
Ariëlle (V);61
Ariënne (V);83
Ariëtte (V);46
Arja (V);51
Arjanne (V);87
Arlene (V);41
Arlette (V);301
Armanda (V);76
Arnela (V);27
Arnolda (V);118
Arnoldina (V);42
Arti (V);30
Artie (V);37
Artje (V);37
Aruna (V);56
Arwa (V);28
Arwen (V);261
Arzu (V);368
Asena (V);104
Asha (V);230
Ashana (V);43
Ashanti (V);108
Ashanty (V);43
Ashley (V);3694
Ashly (V);41
Ashna (V);160
Ashni (V);27
Asia (V);78
Asiya (V);30
Asiye (V);124
Asja (V);41
Asli (V);208
Aslihan (V);114
Aslı (V);72
Aslıhan (V);46
Asma (V);979
Asmaa (V);224
Asmae (V);582
Asmara (V);87
Assia (V);370
Aster (V);99
Astrid (V);2462
Asude (V);43
Asuman (V);30
Asya (V);108
Athina (V);34
Atie (V);27
Atika (V);49
Atje (V);31
Audrey (V);651
Audry (V);27
Augusta (V);52
Augustina (V);40
Auke (V);110
Aukje (V);917
Aura (V);44
Aurelia (V);106
Aurora (V);230
Aurélie (V);65
Ava (V);120
Avalon (V);138
Aviva (V);34
Awa (V);37
Axelle (V);34
Aya (V);807
Ayaan (V);90
Ayah (V);36
Ayan (V);106
Ayana (V);41
Aybike (V);28
Aycan (V);42
Ayda (V);48
Aydan (V);47
Ayesha (V);105
Ayfer (V);35
Aygül (V);34
Ayla (V);847
Ayleen (V);56
Aylin (V);596
Aynur (V);162
Ayse (V);492
Aysegul (V);37
Aysegül (V);63
Aysel (V);160
Aysenur (V);29
Aysha (V);69
Aysu (V);52
Aysun (V);163
Ayten (V);79
Ayça (V);96
Ayşe (V);1184
Ayşegül (V);251
Ayşen (V);28
Ayşenur (V);149
Aziza (V);271
Azize (V);59
Azra (V);405
Açelya (V);118
Aïcha (V);304
Aïda (V);65
Aïsha (V);279
Babet (V);369
Babeth (V);53
Babette (V);1451
Babiche (V);46
Babs (V);411
Badia (V);50
Badria (V);39
Bahar (V);446
Balou (V);33
Banu (V);86
Barbara (V);1880
Barbera (V);136
Barendina (V);95
Bartha (V);30
Bartje (V);31
Basma (V);158
Bastiaantje (V);104
Bastiana (V);109
Bauke (V);73
Baukje (V);558
Başak (V);55
Bea (V);119
Beate (V);53
Beatrice (V);99
Beatrijs (V);95
Beatrix (V);98
Beatriz (V);38
Beau (V);1399
Beaudine (V);196
Bedia (V);34
Beertje (V);50
Begüm (V);68
Beitske (V);50
Belgin (V);45
Belia (V);49
Belinda (V);362
Bella (V);99
Belle (V);215
Belma (V);44
Benedicte (V);34
Benice (V);44
Benita (V);39
Bente (V);3219
Benthe (V);1018
Berbel (V);45
Berber (V);614
Berdien (V);200
Berdina (V);96
Berdine (V);58
Berendina (V);574
Berendje (V);70
Berfin (V);175
Berit (V);118
Berivan (V);125
Berna (V);255
Bernadet (V);104
Bernadette (V);525
Bernadina (V);32
Bernadine (V);34
Bernarda (V);56
Bernardina (V);89
Bernice (V);370
Bernou (V);48
Berra (V);36
Bertha (V);258
Berthe (V);60
Bertina (V);107
Bertine (V);205
Beryl (V);41
Bethany (V);36
Betsy (V);29
Bette (V);61
Bettie (V);44
Bettina (V);98
Bettine (V);71
Betty (V);113
Betul (V);81
Betül (V);656
Beverly (V);52
Beyoncé (V);32
Beyza (V);626
Beyzanur (V);74
Bianca (V);4655
Bibi (V);1008
Bibian (V);118
Bibiana (V);38
Bibiane (V);52
Bibianne (V);60
Bibiche (V);76
Bieke (V);106
Bijou (V);40
Bilge (V);61
Billie (V);49
Billy (V);31
Bionda (V);95
Bircan (V);34
Birgit (V);912
Birgitta (V);96
Birgitte (V);63
Birgül (V);50
Birsen (V);50
Birte (V);84
Birthe (V);79
Blanca (V);86
Blanche (V);55
Blessing (V);40
Bloem (V);121
Bloeme (V);63
Bo (V);3690
Bobbi (V);111
Bobbie (V);191
Bobby (V);125
Bodien (V);38
Bodil (V);190
Bodine (V);331
Bojana (V);37
Bojoura (V);54
Bonita (V);287
Bonne (V);27
Bonnie (V);438
Bonny (V);185
Bouchra (V);674
Bouke (V);48
Boukje (V);320
Boutaina (V);102
Bouwina (V);35
Bowien (V);134
Brandy (V);92
Brechje (V);263
Brecht (V);226
Brechtje (V);371
Bregje (V);844
Bregtje (V);78
Brenda (V);2626
Brenna (V);29
Brett (V);28
Brianna (V);43
Brianne (V);40
Bridget (V);390
Brigit (V);189
Brigitta (V);231
Brigitte (V);1097
Brit (V);107
Britney (V);558
Britt (V);8213
Britta (V);317
Brittany (V);209
Britte (V);326
Brittney (V);102
Brooklyn (V);28
Bruna (V);31
Btissam (V);49
Btissame (V);116
Buket (V);149
Burcu (V);395
Burçin (V);128
Buse (V);215
Bushra (V);41
Busra (V);93
Buşra (V);186
Büsra (V);78
Büşra (V);608
Cacharel (V);27
Caecilia (V);65
Caia (V);28
Cailey (V);27
Caithlin (V);81
Caithlyn (V);71
Caitlin (V);1195
Caitlyn (V);181
Caitlynn (V);45
Caja (V);42
Calista (V);39
Callista (V);32
Cameron (V);33
Camila (V);93
Camilla (V);288
Camille (V);315
Canan (V);275
Candice (V);86
Candy (V);117
Cansel (V);57
Cansu (V);460
Cara (V);58
Caren (V);45
Caressa (V);161
Carianne (V);40
Carice (V);37
Carien (V);142
Carin (V);126
Carina (V);551
Carine (V);211
Carissa (V);34
Carla (V);630
Carleen (V);52
Carli (V);93
Carlien (V);156
Carlijn (V);2682
Carlijne (V);108
Carlin (V);27
Carlina (V);34
Carline (V);136
Carlotta (V);33
Carly (V);266
Carlyn (V);56
Carmel (V);82
Carmela (V);27
Carmen (V);4008
Caro (V);243
Carol (V);103
Carola (V);1220
Carole (V);29
Carolien (V);1263
Caroliene (V);45
Carolijn (V);108
Carolina (V);876
Caroline (V);2315
Carolyn (V);53
Carry (V);33
Casandra (V);58
Casey (V);72
Cassandra (V);531
Cassidy (V);96
Catalina (V);54
Catarina (V);43
Catelijne (V);40
Caterina (V);28
Cathalijne (V);52
Cathalina (V);63
Catharina (V);4908
Catharine (V);79
Cathelijn (V);89
Cathelijne (V);383
Catherina (V);190
Catherine (V);316
Cathleen (V);40
Cathy (V);239
Cathérine (V);36
Cato (V);571
Caya (V);172
Ceciel (V);76
Cecil (V);33
Cecile (V);373
Cecilia (V);448
Celena (V);44
Celesta (V);133
Celeste (V);712
Celia (V);188
Celina (V);726
Celine (V);2528
Cemile (V);119
Cemre (V);42
Cennet (V);128
Ceren (V);331
Cerise (V);57
Ceyda (V);307
Ceylan (V);196
Ceylin (V);33
Chabeli (V);29
Chadia (V);141
Chahida (V);126
Chahira (V);33
Chahrazad (V);87
Chaima (V);762
Chaimaa (V);64
Chaimae (V);646
Chaira (V);44
Chaja (V);82
Chakira (V);45
Chaline (V);39
Chama (V);44
Chamilla (V);27
Chana (V);34
Chandeni (V);31
Chandenie (V);33
Chandni (V);47
Chandra (V);49
Chanel (V);667
Chanell (V);52
Chanella (V);89
Chanelle (V);82
Chanelva (V);32
Chanice (V);68
Chanika (V);43
Chanine (V);93
Chanique (V);29
Channa (V);227
Channah (V);181
Chanou (V);58
Chantal (V);11072
Chantall (V);27
Chantalle (V);265
Chantelle (V);44
Chanté (V);54
Charel (V);108
Charell (V);104
Charella (V);67
Charelle (V);270
Charifa (V);74
Charina (V);80
Charis (V);48
Charisa (V);51
Charise (V);45
Charisma (V);36
Charissa (V);1599
Charisse (V);42
Charita (V);81
Charity (V);278
Charlaine (V);90
Charleen (V);41
Charlene (V);408
Charley (V);137
Charlie (V);213
Charline (V);49
Charlize (V);84
Charlot (V);161
Charlotte (V);10162
Charly (V);34
Charlène (V);76
Charléne (V);27
Charmain (V);52
Charmaine (V);385
Charmayne (V);68
Charon (V);193
Charona (V);56
Charèl (V);46
Chavelli (V);41
Chavelly (V);34
Chaya (V);116
Chayen (V);40
Chayenna (V);157
Chayenne (V);1003
Chaymae (V);211
Chaïma (V);48
Chaïmae (V);128
Chelly (V);31
Chelsea (V);1059
Chelsey (V);448
Chelsy (V);37
Chemène (V);50
Chen (V);39
Chenna (V);56
Chenoa (V);102
Cher (V);81
Cheraine (V);59
Cherell (V);27
Cherelle (V);194
Cherida (V);45
Cherilyn (V);37
Cherina (V);31
Cherinda (V);36
Cherine (V);57
Cherique (V);65
Cherise (V);130
Cherish (V);98
Cherissa (V);48
Chermaine (V);72
Cherrel (V);27
Cherrelle (V);50
Cherry (V);41
Cherryl (V);72
Cheryl (V);952
Cheryll (V);57
Cheverny (V);37
Cheyenna (V);75
Cheyenne (V);2286
Chi (V);99
Chiara (V);1197
Chimène (V);444
Chiméne (V);32
Ching (V);49
Chinook (V);34
Chinouk (V);128
Chirine (V);53
Chislaine (V);29
Chloe (V);99
Chloé (V);400
Chloë (V);833
Chris (V);271
Chrisje (V);53
Chrissie (V);57
Chrissy (V);223
Christa (V);848
Christal (V);29
Christel (V);1392
Christelle (V);33
Christi (V);33
Christiana (V);152
Christiane (V);124
Christianne (V);297
Christie (V);121
Christien (V);163
Christiena (V);27
Christina (V);2730
Christine (V);1231
Christy (V);364
Chrystal (V);45
Chrystel (V);34
Chyenne (V);27
Chérise (V);41
Ciara (V);125
Cigdem (V);42
Cilia (V);85
Cilla (V);53
Cindel (V);35
Cinderella (V);138
Cindy (V);3772
Cinthia (V);99
Ciska (V);310
Cissy (V);33
Claartje (V);86
Clair (V);47
Claire (V);2135
Clara (V);467
Clare (V);29
Clarice (V);31
Clarissa (V);212
Clarisse (V);33
Clasina (V);259
Claudette (V);45
Claudia (V);4697
Claudine (V);137
Claudy (V);37
Clazina (V);141
Clementine (V);69
Cleo (V);322
Cloé (V);27
Cloë (V);66
Cléo (V);30
Coby (V);98
Coco (V);341
Colette (V);209
Colinda (V);280
Colleen (V);36
Conchita (V);98
Connie (V);64
Conny (V);83
Constance (V);132
Consuela (V);35
Coosje (V);49
Cora (V);101
Coralie (V);39
Corianne (V);33
Corien (V);146
Corina (V);350
Corinda (V);57
Corine (V);612
Corinna (V);37
Corinne (V);196
Cornelia (V);7257
Cornelie (V);81
Cornelieke (V);31
Corrie (V);116
Corrine (V);28
Corry (V);34
Courtney (V);103
Crissy (V);35
Crista (V);48
Cristel (V);133
Cristina (V);137
Cristy (V);30
Crystal (V);116
Cunera (V);28
Cyanne (V);42
Cynthia (V);3657
Cyrelle (V);40
Cyrilla (V);35
Cyrille (V);43
Cyrina (V);28
Cécile (V);226
Céleste (V);102
Célina (V);32
Céline (V);1200
Cézanne (V);50
Daan (V);129
Daantje (V);254
Dafina (V);28
Dafne (V);159
Dagmar (V);1289
Dahlia (V);32
Daimy (V);324
Daisy (V);4265
Dajana (V);59
Dakota (V);52
Dalal (V);53
Dali (V);32
Dalia (V);111
Dalila (V);181
Dalya (V);27
Damanja (V);42
Damaris (V);133
Damini (V);50
Damla (V);334
Damy (V);29
Dana (V);1748
Danae (V);109
Danaé (V);77
Danaë (V);34
Danee (V);72
Dani (V);239
Dania (V);107
Danica (V);113
Danice (V);39
Daniek (V);852
Danieke (V);40
Daniela (V);282
Daniella (V);205
Danielle (V);1074
Danijela (V);54
Danika (V);34
Danila (V);49
Danine (V);68
Danique (V);5566
Danischa (V);53
Danisha (V);303
Danita (V);52
Danitia (V);40
Danitsja (V);147
Daniël (V);40
Daniëla (V);165
Daniëlla (V);620
Daniëlle (V);10051
Danja (V);109
Danjella (V);39
Danne (V);40
Danni (V);46
Danniek (V);27
Dannique (V);36
Danny (V);50
Dante (V);68
Danya (V);58
Dané (V);78
Danée (V);64
Daphna (V);44
Daphne (V);8568
Daphny (V);31
Dara (V);84
Darcy (V);53
Daria (V);69
Darinka (V);28
Darja (V);44
Darlene (V);58
Darya (V);33
Dascha (V);34
Davida (V);62
Davina (V);172
Davine (V);47
Davinia (V);32
Davita (V);59
Dawn (V);110
Daya (V);43
Dayanara (V);30
Dayenne (V);229
Dayna (V);93
Deanne (V);45
Debbie (V);1804
Debby (V);1297
Debora (V);854
Deborah (V);3492
Debra (V);91
Deena (V);32
Defne (V);109
Deirdre (V);183
Delal (V);27
Delana (V);63
Delany (V);31
Delayla (V);33
Delia (V);71
Deliana (V);53
Delicia (V);33
Delila (V);33
Delilah (V);157
Delina (V);33
Delphine (V);93
Demelsa (V);53
Demelza (V);281
Demet (V);215
Demi (V);8158
Demie (V);38
Demy (V);529
Dena (V);142
Denice (V);579
Deniece (V);82
Denisa (V);39
Denise (V);9682
Denisha (V);37
Deniz (V);246
Denyse (V);27
Derkje (V);96
Derya (V);746
Desi (V);291
Desie (V);32
Desiree (V);1373
Desireé (V);65
Desiré (V);257
Desirée (V);1054
Desley (V);44
Desteney (V);90
Desteny (V);139
Destina (V);37
Destiny (V);541
Deveney (V);241
Deveny (V);295
Devi (V);104
Devika (V);121
Devina (V);29
Devon (V);40
Dewi (V);1971
Dewika (V);34
Dewy (V);262
Dian (V);576
Diana (V);1900
Diandra (V);134
Diane (V);416
Dianne (V);785
Diantha (V);144
Dianthe (V);43
Diba (V);38
Dicky (V);43
Dicle (V);49
Dide (V);187
Didem (V);143
Didi (V);424
Dido (V);65
Diede (V);698
Dieke (V);239
Diena (V);63
Dieneke (V);64
Dienke (V);31
Dieudonnée (V);51
Dieuwertje (V);638
Dieuwke (V);459
Diewertje (V);118
Digna (V);93
Dijana (V);47
Dikra (V);196
Dila (V);52
Dilan (V);397
Dilana (V);104
Dilara (V);993
Dilay (V);99
Dilber (V);60
Dilek (V);432
Diliana (V);29
Dilâra (V);181
Dilåra (V);41
Dima (V);31
Dimara (V);35
Dimitra (V);41
Dimphina (V);40
Dimphna (V);36
Dimphy (V);206
Dina (V);1277
Dinah (V);59
Dinanda (V);28
Dineke (V);179
Dingena (V);135
Dini (V);44
Dinie (V);47
Dinja (V);110
Diny (V);72
Dion (V);176
Diona (V);31
Dione (V);187
Dionne (V);1339
Dionysia (V);49
Dirkje (V);1515
Dita (V);29
Ditta (V);35
Ditte (V);85
Divera (V);54
Divine (V);36
Diya (V);53
Djamila (V);116
Djamilla (V);244
Djenna (V);74
Djoeke (V);201
Djoni (V);49
Djuna (V);71
Djura (V);66
Doenja (V);77
Doetje (V);36
Doha (V);67
Dolly (V);29
Dolores (V);94
Domenica (V);80
Domenique (V);63
Dominic (V);33
Dominica (V);47
Dominiek (V);37
Dominique (V);4297
Domino (V);32
Donatella (V);31
Donia (V);73
Donja (V);217
Donna (V);1598
Donya (V);104
Door (V);30
Doortje (V);255
Dora (V);169
Dorcas (V);37
Dore (V);40
Doreen (V);147
Dorenda (V);34
Dorette (V);39
Dorian (V);63
Dorianne (V);43
Dorieke (V);66
