Naam;Aantal
Fatiha (V);545
Fatima (V);3761
Fatimah (V);32
Fatime (V);29
Fatin (V);45
Fatine (V);79
Fatma (V);1901
Fatmanur (V);45
Fatna (V);34
Fatoumata (V);35
Fauve (V);140
Fauzia (V);35
Fay (V);886
Faya (V);45
Faye (V);688
Fazilet (V);34
Febe (V);187
Fedoua (V);60
Fee (V);323
Feija (V);32
Feike (V);35
Feikje (V);94
Felice (V);283
Felicia (V);1259
Felicity (V);226
Felien (V);62
Feline (V);598
Fem (V);86
Femia (V);33
Femke (V);11116
Femma (V);45
Femme (V);90
Femmie (V);99
Femmigje (V);143
Femmy (V);164
Fenna (V);2270
Fenne (V);1032
Fennechien (V);41
Fenneke (V);137
Fenneken (V);35
Fennetje (V);48
Fennie (V);59
Fennigje (V);76
Fenny (V);111
Feray (V);27
Ferhan (V);35
Feride (V);111
Fernanda (V);52
Feya (V);29
Feyza (V);250
Fianne (V);56
Fidan (V);65
Fieke (V);599
Fien (V);413
Fiene (V);232
Fiep (V);54
Figen (V);93
Fija (V);27
Fijgje (V);43
Fikria (V);58
Fikriye (V);34
Filiz (V);266
Fimke (V);36
Finette (V);81
Finn (V);76
Fiona (V);836
Fiorella (V);38
Firdaous (V);45
Firdaouss (V);176
Firdevs (V);56
Flavia (V);27
Fleur (V);9855
Fleurine (V);49
Fleurtje (V);79
Flo (V);75
Floor (V);6041
Floortje (V);1656
Flor (V);34
Flora (V);321
Florance (V);99
Flore (V);225
Florence (V);699
Florencia (V);40
Florentien (V);42
Florentina (V);180
Florentine (V);367
Florian (V);34
Florianne (V);161
Florieke (V);53
Florien (V);307
Florina (V);32
Florine (V);592
Flory (V);27
Foekje (V);48
Fokje (V);125
Fouzia (V);226
Franca (V);162
Frances (V);259
Francesca (V);320
Francien (V);236
Francina (V);414
Francine (V);227
Francis (V);641
Francisca (V);1256
Franciska (V);251
Franka (V);481
Fransien (V);39
Fransina (V);38
Fransisca (V);54
Fransje (V);84
Franziska (V);38
Françoise (V);129
Frauke (V);91
Fraukje (V);73
Frederica (V);69
Frederiek (V);182
Frederieke (V);413
Frederika (V);388
Frederike (V);407
Frederique (V);995
Fredrika (V);53
Freeke (V);59
Freija (V);66
Freke (V);63
Freya (V);252
Frida (V);146
Frieda (V);115
Frouke (V);218
Froukje (V);949
Frouwke (V);33
Fréderique (V);396
Frédérique (V);619
Fulya (V);71
Funda (V);430
Fé (V);107
Fébe (V);27
Félice (V);79
Féline (V);209
Gabi (V);110
Gabriela (V);246
Gabriella (V);312
Gabrielle (V);218
Gabriëla (V);143
Gabriëlla (V);712
Gabriëlle (V);1114
Gaby (V);1013
Gaia (V);189
Gail (V);78
Galina (V);44
Gallyon (V);33
Gamze (V);562
Gaya (V);85
Gaye (V);30
Gayle (V);45
Gaëlle (V);35
Gea (V);181
Geanne (V);42
Geartsje (V);52
Geeke (V);56
Geena (V);68
Geerdina (V);31
Geerke (V);34
Geerte (V);128
Geertje (V);2049
Geertruda (V);76
Geertrui (V);119
Geertruida (V);1727
Geesje (V);495
Geeske (V);308
Geesken (V);36
Geessien (V);63
Geeta (V);33
Geke (V);230
Gelske (V);34
Gemma (V);420
Genelva (V);35
Genesis (V);35
Geneva (V);61
Genevieve (V);94
Geneviève (V);101
Geneviëve (V);31
Georgette (V);91
Georgia (V);99
Georgina (V);387
Gepke (V);85
Gera (V);73
Geralda (V);81
Geraldine (V);179
Gerarda (V);502
Gerardina (V);82
Gerbrich (V);93
Gerbrig (V);28
Gerda (V);668
Gerdi (V);27
Gerdien (V);214
Gerdina (V);333
Gerdine (V);149
Gerharda (V);127
Gerianne (V);28
Gerie (V);27
Gerjanne (V);214
Gerlinda (V);91
Gerlinde (V);181
Gerline (V);31
Germa (V);41
Germaine (V);211
Gerrianne (V);66
Gerridina (V);50
Gerrie (V);444
Gerrieke (V);41
Gerrigje (V);268
Gerrita (V);79
Gerritdina (V);448
Gerritje (V);1086
Gerriëtte (V);32
Gerry (V);76
Gertine (V);48
Gertruda (V);151
Gertrude (V);75
Gertrudis (V);28
Gertruida (V);28
Gesina (V);168
Geurtje (V);80
Geziena (V);58
Gezina (V);238
Ghislaine (V);435
Ghita (V);41
Ghizlan (V);229
Ghizlane (V);175
Giada (V);55
Gianna (V);134
Gianne (V);32
Giannina (V);31
Gigi (V);127
Gijsberta (V);147
Gijsbertha (V);288
Gijsbertje (V);81
Gijsje (V);113
Gillian (V);203
Gina (V);1209
Gineke (V);29
Ginette (V);28
Ginger (V);328
Gini (V);51
Ginny (V);155
Giny (V);36
Gioia (V);178
Giorgia (V);33
Giovanna (V);149
Gioya (V);58
Gisela (V);81
Gisella (V);44
Giselle (V);107
Gita (V);52
Githa (V);36
Gitta (V);113
Gitte (V);236
Giulia (V);414
Gizem (V);458
Gladys (V);123
Glenda (V);125
Gloria (V);210
Glynis (V);33
Godelieve (V);132
Gonca (V);69
Gonda (V);44
Gonneke (V);36
Gonnie (V);48
Goverdina (V);64
Grace (V);294
Gracia (V);67
Graciela (V);27
Graciella (V);27
Graciëlla (V);67
Grada (V);147
Graziella (V);33
Graziëlla (V);38
Greetje (V);177
Greta (V);109
Gretha (V);92
Grietje (V);1737
Grytsje (V);62
Guinevere (V);73
Gulsum (V);31
Guus (V);41
Guusje (V);1137
Gwen (V);1193
Gwenda (V);142
Gwendoline (V);88
Gwendolyn (V);537
Gwendolyne (V);39
Gwendolynn (V);35
Gwenn (V);155
Gwenny (V);94
Gwyneth (V);81
Gökçe (V);56
Gönül (V);55
Gözde (V);151
Gül (V);196
Gülay (V);120
Gülbahar (V);54
Gülcan (V);136
Gülden (V);33
Güler (V);66
Gülhan (V);57
Gülistan (V);45
Gülizar (V);36
Güllü (V);47
Gülsen (V);47
Gülseren (V);47
Gülsüm (V);173
Gülten (V);41
Gülçin (V);35
Gülüzar (V);32
Gülşah (V);132
Gülşen (V);63
Habiba (V);132
Habibe (V);89
Hacer (V);222
Hadassa (V);123
Hadassah (V);38
Hadia (V);32
Hafida (V);315
Hafize (V);41
Hafsa (V);443
Hafssa (V);63
Hagar (V);51
Hager (V);28
Hailey (V);112
Hajar (V);1204
Hajer (V);34
Hakima (V);298
Hala (V);75
Hale (V);50
Haley (V);30
Halima (V);579
Halime (V);148
Hamda (V);56
Hamdi (V);73
Hamida (V);42
Hamide (V);54
Hamza (V);81
Hana (V);170
Hanae (V);265
Hanan (V);449
Hanane (V);1131
Hananja (V);39
Handan (V);75
Hande (V);72
Hani (V);72
Hanifa (V);37
Hanife (V);118
Hanim (V);39
Hanin (V);48
Hanke (V);33
Hanna (V);1769
Hannah (V);3142
Hannan (V);76
Hanne (V);610
Hanneke (V);1580
Hannelore (V);88
Hannie (V);69
Hanny (V);32
Hansje (V);52
Harma (V);133
Harmanna (V);85
Harmina (V);210
Harmke (V);331
Harmpje (V);64
Harriet (V);44
Harriët (V);91
Harriëtte (V);65
Hasibe (V);43
Hasna (V);291
Hasnae (V);101
Hasret (V);135
Hassana (V);72
Hasse (V);59
Hatice (V);1084
Hatiçe (V);29
Hatun (V);52
Hava (V);170
Havin (V);46
Havva (V);217
Hawa (V);54
Hayat (V);635
Hayley (V);83
Hayriye (V);82
Hazal (V);97
Hazel (V);65
Heather (V);122
Heaven (V);38
Heavenly (V);36
Heba (V);49
Hebe (V);39
Hedda (V);38
Hediye (V);43
Hedwich (V);59
Hedwig (V);280
Hedy (V);79
Heidi (V);398
Heidy (V);53
Heike (V);92
Heiltje (V);116
Heintje (V);120
Heleen (V);1246
Helen (V);543
Helena (V);2858
Helene (V);211
Helga (V);133
Helin (V);156
Hella (V);120
Hellen (V);122
Helma (V);95
Helmi (V);28
Helène (V);36
Henderika (V);251
Hendrica (V);170
Hendrieka (V);30
Hendrieke (V);33
Hendrika (V);4209
Hendrike (V);125
Hendrikje (V);1368
Hendrina (V);344
Henna (V);35
Hennie (V);262
Henny (V);171
Henrica (V);378
Henrieke (V);470
Henriette (V);118
Henrika (V);51
Henrike (V);417
Henriët (V);117
Henriëtta (V);36
Henriëtte (V);874
Herma (V);161
Hermanna (V);112
Hermien (V);63
Hermina (V);631
Hermine (V);67
Hester (V);1440
Hesther (V);43
Hetty (V);95
Hiba (V);235
Hibo (V);79
Hicran (V);68
Hieke (V);218
Hielkje (V);48
Hila (V);27
Hilal (V);521
Hilary (V);30
Hilda (V);313
Hilde (V);1903
Hildegard (V);48
Hilje (V);38
Hilke (V);145
Hillary (V);36
Hillechien (V);71
Hillechiena (V);27
Hillegonda (V);198
Hilletje (V);40
Hillie (V);117
Hilligje (V);168
Hilly (V);74
Hiltje (V);246
Hilâl (V);63
Hina (V);38
Hind (V);356
Hinderika (V);44
Hinderkien (V);42
Hinke (V);274
Hira (V);40
Hiske (V);224
Hiu (V);31
Ho (V);41
Hoang (V);42
Hoda (V);75
Hodan (V);100
Hoi (V);79
Holly (V);107
Hong (V);59
Hope (V);81
Houda (V);472
Houria (V);114
Huberdina (V);74
Huberta (V);46
Hubertina (V);83
Huda (V);73
Hui (V);74
Huiberdina (V);65
Huibertje (V);62
Hulya (V);61
Huriye (V);81
Husna (V);27
Hylke (V);36
Hylkje (V);31
Hymke (V);40
Hélène (V);292
Hülya (V);379
Hümeyra (V);138
Ianthe (V);63
Iboya (V);29
Ibtisam (V);43
Ibtisame (V);59
Ibtissam (V);473
Ibtissame (V);64
Ichelle (V);80
Ida (V);575
Idil (V);109
Idske (V);39
Iefke (V);31
Ieke (V);94
Iemke (V);31
Ietje (V);54
Ifrah (V);46
Ihsane (V);144
Ihssane (V);29
Ike (V);74
Ikra (V);41
Ikram (V);1009
Ikrame (V);354
Ilana (V);249
Ilayda (V);528
Ilaysa (V);29
Ileen (V);64
Ilene (V);27
Ilham (V);720
Ilhame (V);242
Ilhan (V);32
Ilja (V);639
Ilka (V);58
Ilkay (V);36
Ilke (V);111
Ilknur (V);161
Ilona (V);4112
Ilonca (V);38
Ilone (V);33
Ilonka (V);376
Ilsa (V);107
Ilse (V);9487
Ilva (V);92
Ilvy (V);93
Ilya (V);63
Ilze (V);112
Imaan (V);59
Iman (V);372
Imane (V);1571
Imani (V);153
Imara (V);150
Imelda (V);59
Imen (V);42
Imke (V);2072
Imme (V);329
Immy (V);28
Imogen (V);40
Imran (V);41
Imre (V);207
Ina (V);162
Inas (V);38
Inass (V);84
Inci (V);59
Indah (V);44
Indi (V);164
India (V);208
Indiana (V);29
Indie (V);28
Indigo (V);32
Indira (V);233
Indra (V);325
Indy (V);2328
Ine (V);167
Ineke (V);703
Ines (V);278
Inez (V);706
Inga (V);87
Inge (V);6580
Ingeborg (V);1127
Inger (V);284
Ingetje (V);59
Ingmar (V);31
Ingrid (V);2315
Inke (V);47
Insaf (V);41
Inssaf (V);152
Intissar (V);75
Inès (V);65
Inèz (V);47
Inés (V);43
Ioanna (V);32
Iona (V);72
Ipek (V);112
Iqra (V);36
Ira (V);85
Ireen (V);79
Irem (V);513
Irena (V);112
Irene (V);3626
Ires (V);71
Irina (V);229
Irini (V);80
Iris (V);16984
Irma (V);876
Irmak (V);37
Irmgard (V);49
Irsa (V);41
Isa (V);5221
Isabeau (V);300
Isabel (V);3044
Isabella (V);1919
Isabelle (V);3269
Isadora (V);47
Isaura (V);162
Ischa (V);49
Ise (V);111
Isha (V);182
Ishana (V);59
Ishani (V);30
Ishara (V);33
Ishika (V);33
Isis (V);1213
Ismahan (V);54
Ismahane (V);27
Ismay (V);244
Isobel (V);33
Isolde (V);166
Isra (V);123
Israa (V);44
Israe (V);28
Issrae (V);39
Itske (V);27
Iva (V);148
Ivana (V);739
Ivanka (V);189
Ivanna (V);40
Ivette (V);93
Ivon (V);67
Ivonne (V);160
Ivy (V);354
Iwana (V);30
Iza (V);384
Izabella (V);59
Ize (V);38
Işil (V);30
Jaantje (V);80
Jacey (V);42
Jacinta (V);59
Jacintha (V);200
Jackelien (V);48
Jackie (V);327
Jacklyn (V);42
Jacky (V);561
Jaclyn (V);33
Jacoba (V);2960
Jacobien (V);118
Jacobina (V);40
Jacobine (V);147
Jacobje (V);98
Jacolien (V);108
Jacoline (V);124
Jacomijn (V);43
Jacomijntje (V);79
Jacomina (V);301
Jacquelien (V);144
Jacqueline (V);2108
Jacyntha (V);31
Jada (V);369
Jade (V);1820
Jaden (V);42
Jadey (V);78
Jadie (V);28
Jady (V);132
Jael (V);37
Jaidy (V);46
Jaike (V);43
Jaime (V);59
Jaimey (V);38
Jaimie (V);181
Jaimy (V);1349
Jaimy-Lee (V);27
Jainy (V);33
Jakoba (V);85
Jale (V);41
Jaleesa (V);444
Jalila (V);46
Jalisa (V);61
Jamey (V);31
Jamie (V);2368
Jamie-Lee (V);150
Jamila (V);794
Jamilla (V);457
Jamy (V);293
Jana (V);572
Jane (V);568
Janelle (V);65
Janet (V);490
Janette (V);107
Janey (V);125
Janice (V);552
Janie (V);30
Janiek (V);176
Janieke (V);80
Janien (V);33
Janienke (V);29
Janina (V);166
Janine (V);2374
Janinka (V);31
Janique (V);155
Janis (V);94
Janita (V);365
Janke (V);349
Janna (V);2929
Jannah (V);53
Janne (V);1448
Janneke (V);4528
Jannet (V);87
Jannetje (V);1664
Jannetta (V);46
Jannette (V);158
Jannie (V);959
Janniek (V);46
Jannieke (V);49
Jannigje (V);793
Jannine (V);33
Jannita (V);45
Janny (V);555
Janou (V);288
Janouk (V);78
Jans (V);98
Jansje (V);331
Janske (V);168
Jante (V);42
Jantien (V);246
Jantiena (V);46
Jantiene (V);28
Jantina (V);548
Jantine (V);708
Jantje (V);1073
Jantsje (V);48
Jany (V);36
Japke (V);54
Jaqueline (V);105
Jara (V);589
Jasmien (V);59
Jasmijn (V);3998
Jasmin (V);563
Jasmina (V);347
Jasmine (V);439
Jasmyn (V);51
Jasperina (V);27
Jay (V);57
Jaya (V);75
Jayanti (V);27
Jayda (V);147
Jaydee (V);76
Jayla (V);65
Jaylee (V);33
Jaylin (V);30
Jayne (V);31
Jazz (V);88
Jazzy (V);30
Jaël (V);124
Jaëla (V);39
Jean (V);44
Jeanet (V);157
Jeanette (V);408
Jeanice (V);33
Jeanine (V);1241
Jeanique (V);76
Jeanne (V);480
Jeannet (V);61
Jeannette (V);356
Jeannine (V);67
Jeanny (V);65
Jeany (V);35
Jedidja (V);141
Jelena (V);218
Jelisa (V);63
Jelka (V);33
Jelke (V);121
Jella (V);36
Jellie (V);76
Jelly (V);69
Jelske (V);123
Jeltje (V);379
Jeltsje (V);58
Jemaine (V);38
Jemima (V);64
Jenifer (V);37
Jenine (V);27
Jenita (V);62
Jenna (V);567
Jennefer (V);178
Jenneke (V);652
Jenneken (V);166
Jennie (V);243
Jennifer (V);6419
Jennigje (V);203
Jenny (V);1379
Jennyfer (V);46
Jenske (V);71
Jente (V);594
Jenthe (V);46
Jentje (V);273
Jerina (V);37
Jerney (V);233
Jersey (V);44
Jerusha (V);33
Jesca (V);72
Jeska (V);37
Jeske (V);474
Jess (V);31
Jessa (V);29
Jessamy (V);32
Jesse (V);299
Jessey (V);67
Jessi (V);34
Jessica (V);8102
Jessie (V);1692
Jessika (V);53
Jessy (V);616
Jet (V);1332
Jetske (V);468
Jette (V);428
Jettie (V);49
Jetty (V);90
Jewel (V);107
Ji (V);30
Jia (V);150
Jie (V);28
Jihad (V);112
Jihan (V);47
Jihane (V);192
Jikke (V);405
Jil (V);65
Jildau (V);200
Jildou (V);576
Jilke (V);83
Jill (V);3424
Jillian (V);229
Jilly (V);75
Jin (V);34
Jing (V);52
Jinke (V);102
Jinte (V);189
Jinthe (V);32
Jip (V);757
Jisca (V);116
Jiska (V);506
Jiske (V);143
Jisse (V);29
Jitske (V);828
Jitte (V);100
Jo (V);58
Jo-Ann (V);190
Jo-Anne (V);124
Jo-ann (V);35
Jo-anne (V);31
Joan (V);418
Joana (V);104
Joanie (V);71
Joann (V);50
Joanna (V);783
Joanne (V);1333
Joanneke (V);33
Joany (V);155
Jobje (V);30
Jocelyn (V);162
Jocelyne (V);38
Jodi (V);72
Jodie (V);248
Jody (V);808
Joeke (V);42
Joelle (V);82
Joey (V);55
Johanna (V);16690
Johanne (V);237
Johanneke (V);180
Jojanneke (V);213
Joke (V);350
Jolanda (V);2189
Jolande (V);104
Joleen (V);42
Jolein (V);202
Jolene (V);126
Jolie (V);316
Jolieke (V);75
Jolien (V);1771
Joliene (V);43
Jolijn (V);1079
Jolina (V);49
Jolinda (V);49
Jolinde (V);77
Joline (V);295
Jolisa (V);36
Jolyn (V);54
Jona (V);70
Joni (V);407
Jonie (V);35
Jonna (V);358
Jonne (V);387
Jonneke (V);83
Jony (V);90
Jools (V);36
Joosje (V);125
Jooske (V);46
Jora (V);30
Jordan (V);145
Jordana (V);36
Jordy (V);38
Jori (V);129
Jorie (V);37
Jorieke (V);358
Jorien (V);817
Jorijn (V);36
Jorike (V);43
Jorina (V);60
Jorinda (V);83
Jorinde (V);379
Jorine (V);209
Jorja (V);31
Jorna (V);30
Jory (V);29
Jos (V);66
Josanne (V);80
Josca (V);75
Jose (V);39
Josefien (V);416
Josefina (V);74
Josefine (V);95
Joselien (V);30
Joseline (V);27
Josepha (V);131
Josephien (V);55
Josephina (V);455
Josephine (V);1445
Josette (V);92
Josha (V);47
Josianne (V);48
Josie (V);53
Josien (V);396
Josina (V);279
Josine (V);434
Josja (V);36
Josje (V);406
Joska (V);110
Joske (V);186
Josse (V);42
Josta (V);65
José (V);1120
Joséphine (V);87
Jouke (V);33
Joukje (V);178
Jovana (V);46
Jovanka (V);27
Joy (V);1803
Joya (V);138
Joyca (V);27
Joyce (V);9403
Jozefien (V);67
Jozefina (V);35
Jozien (V);27
Jozina (V);206
Joël (V);78
Joëlla (V);439
Joëlle (V);2424
Juana (V);49
Juanita (V);228
Judi (V);32
Judie (V);41
Judit (V);56
Judith (V);6598
Judy (V);199
Jula (V);66
Jule (V);77
Jules (V);78
Juli (V);36
Julia (V);10162
Juliana (V);288
Juliane (V);28
Julianne (V);138
Julie (V);2284
Julienne (V);54
Juliet (V);219
Juliette (V);1312
Julika (V);41
Julisa (V);33
Julissa (V);29
Juliënne (V);27
Juliët (V);329
Juliëtte (V);1089
Julot (V);55
July (V);68
Juna (V);113
June (V);237
Juno (V);56
Justa (V);28
Justina (V);53
Justine (V);441
Jutta (V);52
Juul (V);817
Juulke (V);51
Juultje (V);140
Jyoti (V);32
Jytte (V);77
Jülide (V);76
Ka (V);189
Kaat (V);65
Kaatje (V);76
Kader (V);123
Kadija (V);32
Kadriye (V);73
Kady (V);54
Kai (V);46
Kailey (V);59
Kaily (V);85
Kaitlin (V);29
Kaitlyn (V);56
Kaja (V);113
Kajal (V);72
Kajol (V);36
Kalina (V);32
Kaltoum (V);28
Kamila (V);39
Kamile (V);30
Kaoutar (V);977
Kaouthar (V);37
Kara (V);43
Kardelen (V);55
Karen (V);1290
Kari (V);79
Karianne (V);56
Karien (V);101
Karijn (V);47
Karima (V);1231
Karin (V);3469
Karina (V);436
Karine (V);93
Karishma (V);122
Karla (V);68
Karlien (V);155
Karlijn (V);3162
Karlijne (V);42
Karmen (V);27
Karola (V);35
Karolien (V);97
Karolina (V);159
Karoline (V);36
Karuna (V);29
Kassandra (V);28
Katarina (V);158
Katarzyna (V);65
Kate (V);288
Katelijn (V);39
Katelijne (V);68
Katerina (V);65
Katharina (V);587
Kathelijn (V);57
Kathelijne (V);111
Katherina (V);89
Katherine (V);173
Kathinka (V);53
Kathleen (V);200
Kathryn (V);37
Kathy (V);236
Katia (V);33
Katie (V);238
Katinka (V);486
Katja (V);688
Kato (V);40
Katrien (V);142
Katrijn (V);32
Katrin (V);27
Katrina (V);34
Katy (V);56
Katya (V);31
Kavita (V);139
Kawita (V);39
Kawtar (V);172
Kay (V);107
Kaya (V);400
Kaydee (V);34
Kayla (V);182
Kaylee (V);2253
Kayleigh (V);2372
Kayley (V);99
Kaylie (V);102
Kaylin (V);55
Kayra (V);102
Kee (V);39
Keely (V);31
Keira (V);37
Keisha (V);65
Kelley (V);45
Kellie (V);41
Kelly (V);9389
Kelsey (V);1101
Kelsy (V);42
Keltoum (V);52
Kely (V);29
Kendra (V);126
Kenza (V);161
Keona (V);27
Keri (V);53
Kerstin (V);71
Kes (V);80
Keshia (V);144
Kevser (V);138
Kezban (V);63
Keziah (V);32
Keziban (V);104
Khadija (V);1341
Khadra (V);34
Khadya (V);97
Khaoula (V);121
Khouloud (V);28
Kiana (V);56
Kiara (V);412
Kicky (V);52
Kiek (V);44
Kika (V);101
Kiki (V);2359
Kikki (V);36
Kim (V);18831
Kimber (V);67
Kimberley (V);6159
Kimberly (V);5340
Kimm (V);34
Kimmy (V);91
Kinga (V);28
Kiomi (V);36
Kiona (V);199
Kira (V);448
Kiran (V);152
Kirby (V);104
Kiri (V);41
Kirsi (V);30
Kirsten (V);5863
Kirstie (V);59
Kirstin (V);171
Kirsty (V);213
Kirti (V);44
Kit (V);42
Kitty (V);508
Kiymet (V);31
Klaartje (V);128
Klaasje (V);415
Klaaske (V);88
Klara (V);121
Klasina (V);174
Klaske (V);267
Klaudia (V);41
Klaziena (V);79
Klazina (V);388
Komal (V);28
Koosje (V);71
Kornelia (V);116
Krijna (V);35
Krijntje (V);70
Krina (V);29
Kris (V);449
Krissie (V);29
Krissy (V);63
Krista (V);665
Kristel (V);1559
Kristen (V);106
Kristi (V);65
Kristianne (V);32
Kristie (V);180
Kristien (V);78
Kristin (V);91
Kristina (V);260
Kristine (V);117
Kristy (V);430
Krystel (V);41
Krystle (V);78
Kubra (V);147
Kyana (V);60
Kyara (V);735
Kyla (V);35
Kylian (V);27
Kylie (V);463
Kyona (V);89
Kyra (V);2692
Kübra (V);810
La (V);39
Ladan (V);46
Laetitia (V);192
Lai (V);60
Laila (V);988
Lakeisha (V);58
Lakisha (V);63
Lakshmi (V);31
Lale (V);63
Lalita (V);27
Lamberdina (V);55
Lamberta (V);96
Lambertha (V);102
Lamia (V);102
Lamiae (V);56
Lammechien (V);39
Lammie (V);54
Lammigje (V);38
Lamya (V);37
Lamyae (V);398
Lan (V);33
Lana (V);816
Lani (V);41
Laquisha (V);29
Lara (V);3497
Larisa (V);84
Larissa (V);3604
Latifa (V);735
Latifah (V);48
Latife (V);37
Latischa (V);30
Latisha (V);237
Latoya (V);283
Laura (V);20681
Lauraine (V);61
Lauranne (V);29
Laure (V);220
Laureen (V);120
Lauren (V);1071
Laurence (V);106
Laurentia (V);283
Lauretta (V);35
Laurette (V);95
Lauri (V);167
Laurie (V);629
Laurien (V);472
Laurina (V);145
Laurine (V);171
Laury (V);107
Lauryn (V);41
Laurèl (V);35
Lava (V);29
Lavina (V);40
Lavinia (V);159
Layla (V);864
Laïla (V);519
Le (V);40
Lea (V);441
Leah (V);380
Lean (V);46
Leana (V);32
Leandra (V);265
Leann (V);29
Leanne (V);843
Lee (V);40
Leena (V);28
Leentje (V);310
Leida (V);76
Leidy (V);34
Leigh (V);32
Leila (V);510
Leilani (V);29
Leintje (V);36
Lejla (V);131
Lela (V);32
Lema (V);35
Len (V);33
Lena (V);1264
Lene (V);37
Leni (V);29
Lenie (V);128
Lenka (V);45
Lenna (V);41
Lenne (V);100
Lenneke (V);401
Lennie (V);41
Lenny (V);205
Lente (V);233
Lenthe (V);76
Leny (V);65
Leona (V);162
Leonarda (V);238
Leone (V);54
Leoni (V);282
Leonie (V);4840
Leoniek (V);39
Leonieke (V);122
Leonique (V);30
Leonne (V);72
Leonoor (V);166
Leonora (V);241
Leonore (V);158
Leontien (V);229
Leontina (V);42
Leontine (V);191
Leony (V);33
Leora (V);28
Lesley (V);728
Lesley-Ann (V);32
Leslie (V);231
Lesly (V);40
Leticia (V);64
Letitia (V);34
Leuntje (V);163
Levi (V);142
Levina (V);120
Levy (V);46
Lexi (V);55
Leyla (V);540
Leylâ (V);75
Li (V);136
Lia (V);190
Lian (V);585
Liana (V);142
Lianda (V);74
Liane (V);129
Lianna (V);32
Lianne (V);3627
Libby (V);46
Lichelle (V);101
Lida (V);111
Lidewei (V);31
Lidewij (V);281
Lidia (V);110
Lidian (V);35
Liduina (V);39
Lidwien (V);89
Lidwina (V);103
Lidwine (V);27
Lidy (V);98
Liedeke (V);27
Liedewij (V);45
Liefke (V);30
Lieke (V);7943
Lien (V);56
Liena (V);33
Liene (V);38
Lieneke (V);322
Lienke (V);84
Lies (V);223
Liesanne (V);97
Liesbeth (V);689
Liese (V);78
Lieselot (V);61
Lieselotte (V);192
Liesje (V);49
Lieske (V);108
Lieuwkje (V);47
Lieve (V);919
Lieveke (V);47
Lieze (V);35
Lijntje (V);162
Lijsje (V);66
Lika (V);33
Lila (V);84
Lili (V);95
Lilia (V);52
Lilian (V);1110
Liliana (V);97
Liliane (V);76
Lilianne (V);74
Lilith (V);30
Lilli (V);36
Lillian (V);201
Lilly (V);203
Lily (V);374
Lima (V);40
Lin (V);162
Lina (V);1041
Lincy (V);254
Linda (V);13474
Linde (V);1751
Lindey (V);28
Lindi (V);118
Lindsay (V);1478
Lindsey (V);1608
Lindsy (V);129
Lindy (V);1059
Line (V);61
Lineke (V);164
Linet (V);40
Linette (V);100
Ling (V);42
Linn (V);269
Linne (V);46
Linsey (V);961
Linsy (V);78
Liona (V);95
Lionne (V);64
Liora (V);57
Lis (V);130
Lisa (V);17578
Lisa-Marie (V);67
Lisan (V);496
Lisandra (V);34
Lisanna (V);48
Lisanne (V);8187
Lise (V);1004
Liselore (V);96
Liselot (V);350
Liselotte (V);1208
Lisenka (V);53
Liset (V);361
Lisette (V);3803
Liske (V);29
Lissa (V);149
Lisse (V);57
Lissy (V);109
Liv (V);471
Livia (V);261
Liz (V);752
Liza (V);1554
Lizan (V);98
Lizanne (V);282
Lize (V);396
Lizelotte (V);40
Lizet (V);141
Lizette (V);257
Lizz (V);59
Lizzie (V);71
Lizzy (V);1329
Lobke (V);717
Lobna (V);30
Loeka (V);85
Loeke (V);57
Loeki (V);62
Loekie (V);69
Loena (V);31
Loes (V);3907
Loesje (V);71
Lois (V);925
Lok (V);28
Lola (V);866
Lolita (V);34
Lolkje (V);43
Lone (V);38
Lonne (V);160
Lonneke (V);1915
Lora (V);82
Lorain (V);33
Loraine (V);416
Loran (V);32
Lore (V);51
Loredana (V);42
Loreen (V);54
Loren (V);55
Lorena (V);370
Lorenza (V);55
Loretta (V);106
Lorette (V);41
Lori (V);125
Lorijn (V);30
Lorin (V);51
Lorna (V);34
Lorraine (V);357
Lot (V);367
Lotje (V);181
Lotta (V);164
Lotte (V);12772
Lotti (V);31
Lottie (V);51
Lotty (V);31
Lotus (V);193
Lou (V);51
Loubna (V);760
Louella (V);53
Louelle (V);41
Louisa (V);613
Louise (V);2564
Louiza (V);99
Louka (V);38
Louke (V);31
Loulou (V);127
Loura (V);30
Lourdes (V);38
Lourina (V);38
Loïs (V);1767
Luana (V);123
Lubertha (V);36
Lubna (V);33
Luca (V);851
Lucca (V);63
Luce (V);28
Lucette (V);27
Lucia (V);872
Luciana (V);73
Lucie (V);313
Lucienne (V);153
Lucille (V);90
Lucinda (V);414
Lucinde (V);41
Luciënne (V);108
Lucky (V);37
Lucretia (V);48
Lucy (V);474
Lucía (V);29
Ludovica (V);30
Ludwina (V);28
Luisa (V);133
Luka (V);453
Luke (V);38
Lulu (V);43
Lummetje (V);43
Luna (V);2905
Lune (V);125
Lusanne (V);62
Lutske (V);115
Luuke (V);30
Luus (V);36
Luz (V);59
Lyan (V);148
Lyanne (V);353
Lycke (V);28
Lydia (V);1641
Lydian (V);31
Lydie (V);41
Lyke (V);65
Lyn (V);41
Lynda (V);33
Lyndsey (V);33
Lynette (V);121
Lynn (V);3596
Lynne (V);80
Lynsey (V);42
Lysan (V);35
Lysanne (V);791
Lysbeth (V);43
Lysette (V);91
Léa (V);28
Léanne (V);29
Léonie (V);146
Maaike (V);8968
